scenario,method,n_cycles_true,n_cycles_found,coverage_fraction,coverage_duration_fraction,fraction_samples_assigned,period_estimate,period_error,median_duration_error_samples,max_duration_error_samples,median_tau_error_samples,max_tau_error_samples,planarity,anchor_norm,quarter_anchor_orth_ratio,min_samples_per_cycle
clean_complete_cycles,peak_seed,6,5,0.8333333333333334,0.831946755407654,0.831946755407654,1.0016666666666665,0.0016666666666664831,0.0,0.0,50.0,50.0,1.0,1.0,1.0,100
clean_complete_cycles,geometric_score,6,5,0.8333333333333334,0.8333333333333333,0.831946755407654,1.0016666666666665,0.0016666666666664831,0.1666666666666483,0.16666666666669272,2.6302083333333837,97.03645833333331,1.0,0.9996496906602186,0.9999965726316177,100
clean_complete_cycles,phase_ground_truth,6,6,1.0,0.9983361064891847,0.9983361064891847,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100
noisy_complete_cycles,peak_seed,6,5,0.8333333333333334,0.8352745424292845,0.8352745424292846,1.0016666666666665,0.0016666666666664831,4.0000000000000036,6.000000000000005,37.999999999999986,62.000000000000014,0.999103503320217,1.0359153399481655,0.995540331167474,94
noisy_complete_cycles,geometric_score,6,5,0.8333333333333334,0.8333333333333333,0.8336106489184693,1.0016666666666665,0.0016666666666664831,0.1666666666666483,0.16666666666669272,33.36718749999994,66.29947916666677,0.9991202584281069,1.0129981137046193,0.9999364409434663,100
noisy_complete_cycles,phase_ground_truth,6,6,1.0,0.9983361064891847,0.9983361064891847,1.0,0.0,0.0,0.0,0.0,0.0,0.9991112710450655,1.00069517680807,0.9993160846183504,100
phase_offset_start,peak_seed,6,6,1.0,0.9216589861751152,0.9216589861751152,0.9299999999999998,-0.07000000000000017,0.0,1.000000000000023,12.0,12.00000000000001,0.9998912633209792,1.0094811045265262,0.9997673647829372,99
phase_offset_start,geometric_score,6,2,0.3333333333333333,0.9185867895545315,0.9185867895545314,2.99,1.9900000000000002,199.00000000000003,199.00000000000003,61.00000000000003,138.0,0.9998917388826198,1.006365301017388,0.9999981098381413,299
phase_offset_start,phase_ground_truth,6,6,1.0,0.9216589861751152,0.9216589861751152,1.0,0.0,0.0,0.0,37.000000000000014,37.000000000000014,0.9998958973838654,0.9976936183190642,0.9999113505262335,100
mild_phase_warp,peak_seed,6,5,0.8333333333333334,0.831946755407654,0.831946755407654,1.0016666666666665,0.0016666666666664831,2.9999999999999805,5.999999999999961,50.0,52.99999999999998,0.9998999515446995,0.8694119662953413,0.9859757252265542,95
mild_phase_warp,geometric_score,6,5,0.8333333333333334,0.8333333333333333,0.831946755407654,1.0016666666666665,0.0016666666666664831,0.1666666666666483,0.16666666666669272,14.585937499999924,85.08072916666674,0.9999012139931593,1.0652416022809832,0.9999752634625733,100
mild_phase_warp,phase_ground_truth,6,6,1.0,0.9983361064891847,0.9983361064891847,1.0,0.0,0.0,0.0,0.0,0.0,0.999902229578856,1.1499029569362265,0.9891830294858449,100
harmonic_ambiguity_candidate,peak_seed,6,5,0.8333333333333334,0.8302828618968386,0.8302828618968386,1.0016666666666665,0.0016666666666664831,0.9999999999999787,1.0000000000000009,50.0,51.0,0.9999202986954657,1.5087406235359995,0.9989319213780202,99
harmonic_ambiguity_candidate,geometric_score,6,5,0.8333333333333334,0.8333333333333333,0.8336106489184693,1.0016666666666665,0.0016666666666664831,0.1666666666666483,0.16666666666669272,11.455729166666595,88.21093750000006,0.9999190778744966,1.0734396840502578,0.9999933889330925,100
harmonic_ambiguity_candidate,phase_ground_truth,6,6,1.0,0.9983361064891847,0.9983361064891847,1.0,0.0,0.0,0.0,0.0,0.0,0.9999173659859469,1.5049071286942421,0.9996794001570333,100
